backend,median,minimum,maximum,generic,threads
cpu,8.57,8.38,13.78,1,1
cpu,8.12,7.70,13.28,0,1
cpu,5.78,5.65,10.05,1,2
cpu,5.42,4.73,8.81,0,2
cpu,4.46,4.24,7.73,1,3
cpu,4.25,3.71,6.76,0,3
cpu,3.76,3.53,6.47,1,4
cpu,3.70,3.47,5.68,0,4
cpu,3.50,3.23,5.67,1,5
cpu,3.50,3.23,5.45,0,5
cpu,3.42,3.10,5.04,1,6
cpu,3.52,3.14,4.93,0,6
cpu,3.47,3.06,4.86,1,7
cpu,3.45,3.05,4.72,0,7
cpu,3.43,3.11,4.71,1,8
cpu,3.46,3.13,4.58,0,8
avx,4.48,4.46,8.69,1,1
avx,4.26,4.24,8.31,0,1
avx,3.58,3.29,6.16,1,2
avx,3.52,3.23,5.82,0,2
avx,3.35,2.94,5.28,1,3
avx,3.36,3.00,5.24,0,3
avx,3.45,2.98,4.77,1,4
avx,3.33,2.92,4.70,0,4
avx,3.37,2.79,4.56,1,5
avx,3.38,2.89,4.53,0,5
avx,3.39,2.95,4.40,1,6
avx,3.40,3.04,4.44,0,6
avx,3.41,3.01,4.57,1,7
avx,3.41,3.05,4.44,0,7
avx,3.43,3.00,5.16,1,8
avx,3.47,3.02,4.58,0,8
cuda,3.03,2.97,3.09,1,1
cuda,0.33,0.32,0.33,0,1
nvvm,3.40,3.34,3.48,1,1
nvvm,2.72,2.68,2.77,0,1
opencl,3.04,2.99,3.09,1,1
opencl,0.32,0.32,0.33,0,1
