backend,median,minimum,maximum,generic,threads
cpu,14.35,14.35,14.35,1,1
cpu,13.26,13.26,13.26,0,1
cpu,14.37,14.37,14.37,1,1
cpu,12.91,12.91,12.91,0,1
cpu,14.38,14.38,14.38,1,1
cpu,13.36,13.36,13.36,0,1
cpu,14.36,14.36,14.36,1,1
cpu,12.98,12.98,12.98,0,1
cpu,14.49,14.49,14.49,1,1
cpu,12.97,12.97,12.97,0,1
cpu,14.49,14.49,14.49,1,1
cpu,13.04,13.04,13.04,0,1
cpu,14.34,14.34,14.34,1,1
cpu,13.28,13.28,13.28,0,1
cpu,14.42,14.42,14.42,1,1
cpu,13.36,13.36,13.36,0,1
cpu,14.30,14.30,14.30,1,1
cpu,13.12,13.12,13.12,0,1
cpu,14.48,14.48,14.48,1,1
cpu,13.43,13.43,13.43,0,1
cpu,14.50,14.50,14.50,1,1
cpu,12.96,12.96,12.96,0,1
cpu,14.39,14.39,14.39,1,1
cpu,13.23,13.23,13.23,0,1
cpu,14.16,14.16,14.16,1,1
cpu,13.32,13.32,13.32,0,1
cpu,14.39,14.39,14.39,1,1
cpu,13.15,13.15,13.15,0,1
cpu,14.16,14.16,14.16,1,1
cpu,13.15,13.15,13.15,0,1
cpu,14.35,14.35,14.35,1,1
cpu,13.02,13.02,13.02,0,1
cpu,14.51,14.51,14.51,1,1
cpu,13.14,13.14,13.14,0,1
cpu,14.14,14.14,14.14,1,1
cpu,12.98,12.98,12.98,0,1
cpu,13.99,13.99,13.99,1,1
cpu,12.91,12.91,12.91,0,1
cpu,13.93,13.93,13.93,1,1
cpu,12.99,12.99,12.99,0,1
cpu,13.92,13.92,13.92,1,1
cpu,13.03,13.03,13.03,0,1
cpu,14.19,14.19,14.19,1,1
cpu,12.94,12.94,12.94,0,1
cpu,14.00,14.00,14.00,1,1
cpu,13.07,13.07,13.07,0,1
cpu,14.32,14.32,14.32,1,1
cpu,12.71,12.71,12.71,0,1
cpu,14.68,14.68,14.68,1,1
cpu,13.16,13.16,13.16,0,1
cpu,14.38,14.38,14.38,1,1
cpu,12.76,12.76,12.76,0,1
cpu,14.50,14.50,14.50,1,1
cpu,13.25,13.25,13.25,0,1
cpu,14.68,14.68,14.68,1,1
cpu,13.14,13.14,13.14,0,1
cpu,14.48,14.48,14.48,1,1
cpu,13.01,13.01,13.01,0,1
cpu,14.42,14.42,14.42,1,1
cpu,13.15,13.15,13.15,0,1
cpu,14.24,14.24,14.24,1,1
cpu,13.33,13.33,13.33,0,1
cpu,14.31,14.31,14.31,1,1
cpu,13.14,13.14,13.14,0,1
cpu,14.52,14.52,14.52,1,1
cpu,13.04,13.04,13.04,0,1
cpu,14.23,14.23,14.23,1,1
cpu,12.97,12.97,12.97,0,1
cpu,14.25,14.25,14.25,1,1
cpu,13.17,13.17,13.17,0,1
cpu,14.47,14.47,14.47,1,1
cpu,13.49,13.49,13.49,0,1
cpu,14.50,14.50,14.50,1,1
cpu,13.27,13.27,13.27,0,1
cpu,14.40,14.40,14.40,1,1
cpu,13.46,13.46,13.46,0,1
cpu,14.35,14.35,14.35,1,1
cpu,13.43,13.43,13.43,0,1
cpu,14.21,14.21,14.21,1,1
cpu,13.17,13.17,13.17,0,1
cpu,14.47,14.47,14.47,1,1
cpu,13.28,13.28,13.28,0,1
cpu,14.16,14.16,14.16,1,1
cpu,13.04,13.04,13.04,0,1
cpu,14.26,14.26,14.26,1,1
cpu,12.88,12.88,12.88,0,1
cpu,14.34,14.34,14.34,1,1
cpu,13.33,13.33,13.33,0,1
cpu,14.43,14.43,14.43,1,1
cpu,13.22,13.22,13.22,0,1
cpu,14.52,14.52,14.52,1,1
cpu,13.18,13.18,13.18,0,1
cpu,14.63,14.63,14.63,1,1
cpu,13.06,13.06,13.06,0,1
cpu,14.27,14.27,14.27,1,1
cpu,13.06,13.06,13.06,0,1
cpu,14.46,14.46,14.46,1,1
cpu,13.33,13.33,13.33,0,1
cpu,14.33,14.33,14.33,1,1
cpu,12.90,12.90,12.90,0,1
cpu,14.59,14.59,14.59,1,1
cpu,12.79,12.79,12.79,0,1
cpu,14.34,14.34,14.34,1,1
cpu,12.93,12.93,12.93,0,1
cpu,14.08,14.08,14.08,1,1
cpu,13.10,13.10,13.10,0,1
cpu,14.39,14.39,14.39,1,1
cpu,12.82,12.82,12.82,0,1
cpu,14.31,14.31,14.31,1,1
cpu,13.01,13.01,13.01,0,1
cpu,14.11,14.11,14.11,1,1
cpu,13.26,13.26,13.26,0,1
cpu,14.12,14.12,14.12,1,1
cpu,13.29,13.29,13.29,0,1
cpu,14.26,14.26,14.26,1,1
cpu,13.13,13.13,13.13,0,1
cpu,14.01,14.01,14.01,1,1
cpu,12.64,12.64,12.64,0,1
cpu,13.97,13.97,13.97,1,1
cpu,13.24,13.24,13.24,0,1
cpu,14.15,14.15,14.15,1,1
cpu,12.93,12.93,12.93,0,1
cpu,14.43,14.43,14.43,1,1
cpu,12.89,12.89,12.89,0,1
cpu,17.40,17.40,17.40,1,1
cpu,12.89,12.89,12.89,0,1
cpu,14.41,14.41,14.41,1,1
cpu,13.06,13.06,13.06,0,1
cpu,14.28,14.28,14.28,1,1
cpu,13.00,13.00,13.00,0,1
cpu,14.14,14.14,14.14,1,1
cpu,12.89,12.89,12.89,0,1
cpu,14.28,14.28,14.28,1,1
cpu,12.92,12.92,12.92,0,1
cpu,14.21,14.21,14.21,1,1
cpu,12.89,12.89,12.89,0,1
cpu,14.19,14.19,14.19,1,1
cpu,13.06,13.06,13.06,0,1
cpu,14.44,14.44,14.44,1,1
cpu,12.79,12.79,12.79,0,1
cpu,14.16,14.16,14.16,1,1
cpu,12.86,12.86,12.86,0,1
cpu,14.16,14.16,14.16,1,1
cpu,12.85,12.85,12.85,0,1
cpu,14.12,14.12,14.12,1,1
cpu,13.06,13.06,13.06,0,1
cpu,14.17,14.17,14.17,1,1
cpu,12.86,12.86,12.86,0,1
cpu,14.46,14.46,14.46,1,1
cpu,12.82,12.82,12.82,0,1
cpu,14.40,14.40,14.40,1,1
cpu,12.81,12.81,12.81,0,1
cpu,14.17,14.17,14.17,1,1
cpu,13.10,13.10,13.10,0,1
cpu,13.99,13.99,13.99,1,1
cpu,13.14,13.14,13.14,0,1
cpu,14.12,14.12,14.12,1,1
cpu,13.05,13.05,13.05,0,1
cpu,14.24,14.24,14.24,1,1
cpu,13.05,13.05,13.05,0,1
cpu,14.03,14.03,14.03,1,1
cpu,13.00,13.00,13.00,0,1
cpu,14.21,14.21,14.21,1,1
