backend median minimum maximum generic threads
cpu 1.89 1.71 6.45 1 1
cpu 1.77 1.62 3.79 0 1
cpu 1.92 1.69 5.55 1 2
cpu 1.67 1.60 3.96 0 2
cpu 1.75 1.69 3.94 1 3
cpu 1.85 1.68 4.11 0 3
cpu 1.77 1.73 3.63 1 4
cpu 1.83 1.69 4.22 0 4
cpu 1.72 1.69 5.39 1 5
cpu 1.81 1.66 3.63 0 5
cpu 1.71 1.65 3.60 1 6
cpu 1.70 1.65 3.46 0 6
cpu 1.76 1.68 4.34 1 7
cpu 1.71 1.62 5.05 0 7
cpu 1.75 1.69 4.01 1 8
cpu 1.70 1.65 3.33 0 8
cpu 1.76 1.65 4.92 1 9
cpu 1.67 1.61 3.72 0 9
cpu 1.95 1.83 4.39 1 10
cpu 1.72 1.61 4.06 0 10
cpu 1.80 1.68 5.47 1 11
cpu 1.86 1.71 4.44 0 11
cpu 1.75 1.70 3.78 1 12
cpu 1.74 1.69 3.76 0 12
avx 1.73 1.69 4.65 1 1
avx 1.77 1.72 4.79 0 1
avx 1.83 1.70 4.02 1 2
avx 1.73 1.68 3.81 0 2
avx 1.72 1.68 4.10 1 3
avx 1.69 1.62 3.85 0 3
avx 1.75 1.72 5.51 1 4
avx 1.74 1.70 4.52 0 4
avx 1.81 1.61 6.13 1 5
avx 1.74 1.65 3.05 0 5
avx 2.26 2.22 4.52 1 6
avx 1.73 1.64 2.95 0 6
avx 1.84 1.75 5.18 1 7
avx 1.67 1.61 3.70 0 7
avx 1.72 1.65 3.54 1 8
avx 1.72 1.62 5.55 0 8
avx 1.77 1.69 3.46 1 9
avx 1.68 1.62 3.38 0 9
avx 1.74 1.68 3.94 1 10
avx 1.71 1.68 5.24 0 10
avx 1.76 1.70 3.57 1 11
avx 1.62 1.56 3.07 0 11
avx 2.04 1.70 4.49 1 12
avx 1.64 1.57 3.05 0 12

