backend,median,minimum,maximum,generic,threads
cpu,12.21,12.21,12.21,1,1
cpu,9.40,9.40,9.40,0,1
cpu,12.44,12.44,12.44,1,1
cpu,9.61,9.61,9.61,0,1
cpu,12.87,12.87,12.87,1,1
cpu,9.38,9.38,9.38,0,1
cpu,12.29,12.29,12.29,1,1
cpu,9.38,9.38,9.38,0,1
cpu,12.28,12.28,12.28,1,1
cpu,9.54,9.54,9.54,0,1
cpu,12.22,12.22,12.22,1,1
cpu,9.23,9.23,9.23,0,1
cpu,12.46,12.46,12.46,1,1
cpu,9.39,9.39,9.39,0,1
cpu,12.35,12.35,12.35,1,1
cpu,9.27,9.27,9.27,0,1
cpu,12.57,12.57,12.57,1,1
cpu,9.55,9.55,9.55,0,1
cpu,12.31,12.31,12.31,1,1
cpu,9.36,9.36,9.36,0,1
cpu,12.57,12.57,12.57,1,1
cpu,9.44,9.44,9.44,0,1
cpu,12.26,12.26,12.26,1,1
cpu,9.25,9.25,9.25,0,1
cpu,12.20,12.20,12.20,1,1
cpu,9.39,9.39,9.39,0,1
cpu,12.12,12.12,12.12,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.30,12.30,12.30,1,1
cpu,9.35,9.35,9.35,0,1
cpu,12.97,12.97,12.97,1,1
cpu,9.30,9.30,9.30,0,1
cpu,12.44,12.44,12.44,1,1
cpu,9.33,9.33,9.33,0,1
cpu,12.97,12.97,12.97,1,1
cpu,9.53,9.53,9.53,0,1
cpu,12.48,12.48,12.48,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.33,12.33,12.33,1,1
cpu,9.40,9.40,9.40,0,1
cpu,12.19,12.19,12.19,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.78,12.78,12.78,1,1
cpu,9.30,9.30,9.30,0,1
cpu,12.92,12.92,12.92,1,1
cpu,9.46,9.46,9.46,0,1
cpu,12.33,12.33,12.33,1,1
cpu,9.46,9.46,9.46,0,1
cpu,12.64,12.64,12.64,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.20,12.20,12.20,1,1
cpu,9.28,9.28,9.28,0,1
cpu,12.19,12.19,12.19,1,1
cpu,9.43,9.43,9.43,0,1
cpu,12.36,12.36,12.36,1,1
cpu,9.23,9.23,9.23,0,1
cpu,12.39,12.39,12.39,1,1
cpu,9.28,9.28,9.28,0,1
cpu,12.26,12.26,12.26,1,1
cpu,9.38,9.38,9.38,0,1
cpu,12.34,12.34,12.34,1,1
cpu,9.39,9.39,9.39,0,1
cpu,12.67,12.67,12.67,1,1
cpu,9.31,9.31,9.31,0,1
cpu,12.43,12.43,12.43,1,1
cpu,9.69,9.69,9.69,0,1
cpu,12.31,12.31,12.31,1,1
cpu,9.26,9.26,9.26,0,1
cpu,12.44,12.44,12.44,1,1
cpu,9.46,9.46,9.46,0,1
cpu,12.34,12.34,12.34,1,1
cpu,9.34,9.34,9.34,0,1
cpu,12.33,12.33,12.33,1,1
cpu,9.46,9.46,9.46,0,1
cpu,12.33,12.33,12.33,1,1
cpu,9.44,9.44,9.44,0,1
cpu,12.40,12.40,12.40,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.82,12.82,12.82,1,1
cpu,9.62,9.62,9.62,0,1
cpu,12.41,12.41,12.41,1,1
cpu,9.40,9.40,9.40,0,1
cpu,12.33,12.33,12.33,1,1
cpu,9.30,9.30,9.30,0,1
cpu,12.87,12.87,12.87,1,1
cpu,9.65,9.65,9.65,0,1
cpu,12.88,12.88,12.88,1,1
cpu,9.48,9.48,9.48,0,1
cpu,12.63,12.63,12.63,1,1
cpu,9.42,9.42,9.42,0,1
cpu,12.41,12.41,12.41,1,1
cpu,9.41,9.41,9.41,0,1
cpu,12.30,12.30,12.30,1,1
cpu,9.41,9.41,9.41,0,1
cpu,12.56,12.56,12.56,1,1
cpu,9.38,9.38,9.38,0,1
cpu,12.36,12.36,12.36,1,1
cpu,9.49,9.49,9.49,0,1
cpu,12.37,12.37,12.37,1,1
cpu,9.37,9.37,9.37,0,1
cpu,12.39,12.39,12.39,1,1
cpu,9.33,9.33,9.33,0,1
cpu,12.32,12.32,12.32,1,1
cpu,9.38,9.38,9.38,0,1
cpu,12.45,12.45,12.45,1,1
cpu,9.30,9.30,9.30,0,1
cpu,12.61,12.61,12.61,1,1
cpu,9.48,9.48,9.48,0,1
cpu,12.45,12.45,12.45,1,1
cpu,9.41,9.41,9.41,0,1
cpu,12.54,12.54,12.54,1,1
cpu,9.44,9.44,9.44,0,1
cpu,12.15,12.15,12.15,1,1
cpu,9.42,9.42,9.42,0,1
cpu,12.61,12.61,12.61,1,1
cpu,9.40,9.40,9.40,0,1
cpu,12.96,12.96,12.96,1,1
cpu,9.66,9.66,9.66,0,1
cpu,12.34,12.34,12.34,1,1
cpu,9.45,9.45,9.45,0,1
cpu,12.82,12.82,12.82,1,1
